Date,dAg,dAu
18/10/2011,1.77,-1.40
19/10/2011,-1.92,1.18
20/10/2011,0.18,0.76
21/10/2011,1.71,0.49
24/10/2011,0.97,1.89
25/10/2011,2.02,0.42
26/10/2011,0.87,1.16
27/10/2011,2.36,-1.04
28/10/2011,-1.83,-1.16
31/10/2011,-1.93,1.61
01/11/2011,1.62,0.93
02/11/2011,1.62,-0.72
03/11/2011,-1.49,1.37
04/11/2011,1.25,0.85
07/11/2011,0.68,-0.78
08/11/2011,-0.42,-1.25
09/11/2011,-1.59,0.98
10/11/2011,0.42,0.41
11/11/2011,1.34,0.71
14/11/2011,-1.02,-1.27
15/11/2011,1.12,-0.88
16/11/2011,-1.83,-1.16
17/11/2011,-1.78,-0.99
18/11/2011,-2.05,-0.42
21/11/2011,1.75,-1.03
22/11/2011,-1.03,1.40
23/11/2011,1.25,0.42
28/11/2011,-0.35,1.30
29/11/2011,-1.38,0.59
30/11/2011,2.48,-0.53
01/12/2011,-0.63,-0.41
02/12/2011,-1.42,-1.44
05/12/2011,-1.39,1.27
06/12/2011,1.37,-1.09
07/12/2011,0.77,-0.59
08/12/2011,-1.40,-1.70
09/12/2011,-1.56,0.89
12/12/2011,0.62,-2.04
13/12/2011,-2.13,-1.35
14/12/2011,-1.93,1.13
15/12/2011,1.84,0.50
16/12/2011,-1.83,0.98
19/12/2011,1.32,-0.58
20/12/2011,1.27,-0.31
21/12/2011,-1.23,-1.49
22/12/2011,-1.49,-1.60
28/12/2011,-2.95,2.09
29/12/2011,3.16,0.97
03/01/2012,1.18,-0.93
04/01/2012,-0.94,1.05
05/01/2012,1.29,-0.30
06/01/2012,-1.37,1.17
09/01/2012,1.71,-0.39
10/01/2012,0.64,1.27
11/01/2012,1.61,-1.24
12/01/2012,-1.75,0.58
13/01/2012,0.94,0.96
16/01/2012,1.31,-0.74
17/01/2012,-0.92,0.70
18/01/2012,1.46,-0.35
19/01/2012,-1.18,1.17
20/01/2012,2.62,-0.77
23/01/2012,-1.24,-0.96
24/01/2012,-0.94,2.16
25/01/2012,2.30,-0.24
26/01/2012,0.62,0.42
27/01/2012,-0.95,0.93
30/01/2012,1.13,-0.48
31/01/2012,0.77,0.80
01/02/2012,-0.62,-0.99
02/02/2012,0.88,-0.93
03/02/2012,-1.10,0.54
06/02/2012,-0.85,1.13
07/02/2012,1.81,0.34
08/02/2012,-1.29,-1.45
09/02/2012,-0.86,0.70
10/02/2012,0.93,0.34
13/02/2012,-0.99,0.80
14/02/2012,0.73,-1.07
15/02/2012,-1.23,0.76
16/02/2012,0.95,0.76
17/02/2012,0.49,0.93
20/02/2012,0.52,0.48
21/02/2012,1.13,1.19
22/02/2012,1.17,0.17
23/02/2012,1.72,-0.56
24/02/2012,-1.16,0.71
27/02/2012,1.21,-0.79
28/02/2012,2.14,-1.78
29/02/2012,-2.68,-0.64
01/03/2012,1.37,-0.34
02/03/2012,-1.71,-1.45
05/03/2012,-1.68,0.71
06/03/2012,-0.39,0.86
07/03/2012,1.67,-0.38
08/03/2012,-0.80,0.77
09/03/2012,-0.54,-0.66
12/03/2012,-0.75,-1.65
13/03/2012,-1.48,0.48
14/03/2012,-1.21,0.78
15/03/2012,-0.53,0.46
16/03/2012,0.73,-0.53
19/03/2012,-0.82,-0.67
20/03/2012,-0.88,-0.91
21/03/2012,-0.75,1.32
22/03/2012,-0.89,0.99
23/03/2012,1.48,0.84
26/03/2012,1.56,-0.97
27/03/2012,-1.33,-1.05
28/03/2012,-1.40,0.55
29/03/2012,1.42,0.95
30/03/2012,-0.18,-0.27
02/04/2012,1.30,-1.82
03/04/2012,-1.73,0.79
04/04/2012,-1.49,0.89
05/04/2012,0.95,0.92
10/04/2012,0.69,0.80
11/04/2012,-0.85,-0.35
12/04/2012,1.69,-0.90
13/04/2012,-1.80,-1.03
16/04/2012,1.01,0.72
17/04/2012,-0.31,-0.39
18/04/2012,0.75,0.70
20/04/2012,-1.71,-0.84
24/04/2012,0.25,0.98
25/04/2012,-0.76,0.78
26/04/2012,1.20,-0.86
27/04/2012,0.44,0.88
30/04/2012,-1.16,-0.98
01/05/2012,-0.92,-0.79
02/05/2012,-0.72,0.61
03/05/2012,-1.23,-1.58
04/05/2012,-1.03,-1.12
08/05/2012,-1.65,1.01
09/05/2012,1.29,-0.98
10/05/2012,-1.51,-1.24
11/05/2012,-0.94,-0.36
14/05/2012,-0.42,-0.72
15/05/2012,-1.91,0.60
16/05/2012,0.92,1.51
17/05/2012,1.91,0.43
18/05/2012,-0.56,-0.79
21/05/2012,-1.06,-1.45
22/05/2012,-1.05,1.12
23/05/2012,1.07,0.25
24/05/2012,0.75,0.57
25/05/2012,1.00,0.56
28/05/2012,-0.97,-1.58
29/05/2012,-1.42,1.08
30/05/2012,1.23,1.76
31/05/2012,-1.60,1.34
01/06/2012,2.69,-1.33
06/06/2012,-0.52,-1.36
07/06/2012,-1.95,0.69
08/06/2012,1.28,1.11
11/06/2012,-0.56,1.00
12/06/2012,1.08,-0.61
13/06/2012,0.19,0.92
14/06/2012,-0.87,-0.85
15/06/2012,-0.90,0.79
18/06/2012,1.16,-1.23
19/06/2012,-1.32,-1.09
20/06/2012,-1.23,-1.02
21/06/2012,-1.96,0.54
22/06/2012,-0.58,0.62
25/06/2012,1.64,-0.40
26/06/2012,-1.48,-0.98
27/06/2012,-0.31,1.60
28/06/2012,1.00,-0.64
29/06/2012,1.02,1.27
02/07/2012,1.43,-0.50
03/07/2012,0.82,-0.77
04/07/2012,0.88,-1.03
05/07/2012,-1.89,-0.35
06/07/2012,-0.54,0.80
09/07/2012,1.10,-1.07
10/07/2012,-1.29,-1.15
11/07/2012,-1.27,1.59
12/07/2012,1.74,-0.60
13/07/2012,-1.25,-0.53
16/07/2012,1.17,-0.79
17/07/2012,-1.19,0.75
18/07/2012,1.25,-0.70
19/07/2012,-1.18,-0.50
20/07/2012,-0.67,0.84
23/07/2012,-0.27,1.06
24/07/2012,0.82,1.03
25/07/2012,1.61,0.12
26/07/2012,-0.54,-0.18
27/07/2012,-0.57,0.51
30/07/2012,1.42,-1.19
31/07/2012,-1.08,-0.35
01/08/2012,-1.27,0.56
02/08/2012,-0.79,0.71
03/08/2012,1.31,0.25
06/08/2012,1.01,0.37
07/08/2012,-0.76,0.33
08/08/2012,0.80,0.47
09/08/2012,-0.71,0.50
10/08/2012,0.78,-1.24
13/08/2012,-0.87,0.50
14/08/2012,-0.85,0.41
15/08/2012,0.85,0.80
16/08/2012,1.14,0.12
17/08/2012,-0.60,1.23
20/08/2012,1.71,0.39
21/08/2012,1.19,1.19
22/08/2012,1.84,0.32
23/08/2012,0.41,0.24
24/08/2012,1.20,-0.69
28/08/2012,-0.51,0.17
29/08/2012,-0.48,-0.85
30/08/2012,-0.68,1.62
31/08/2012,2.00,0.57
03/09/2012,1.03,-0.64
04/09/2012,0.25,0.81
05/09/2012,1.55,1.26
06/09/2012,-1.41,0.48
07/09/2012,2.07,0.52
10/09/2012,-0.49,0.12
11/09/2012,1.11,-0.46
12/09/2012,-1.66,1.56
13/09/2012,2.28,-0.56
14/09/2012,-0.72,-0.17
17/09/2012,-1.17,-0.39
18/09/2012,1.32,-0.68
19/09/2012,-1.07,1.22
20/09/2012,1.13,-1.11
21/09/2012,-1.66,0.71
24/09/2012,0.91,-1.23
25/09/2012,-0.62,1.02
26/09/2012,0.45,0.86
27/09/2012,1.44,0.79
28/09/2012,-0.93,-0.80
01/10/2012,1.21,-0.12
02/10/2012,-0.61,0.96
03/10/2012,0.83,-0.66
04/10/2012,-0.56,-0.77
05/10/2012,-1.69,0.17
08/10/2012,0.24,-0.85
09/10/2012,-0.49,0.66
10/10/2012,1.17,-0.36
11/10/2012,-1.16,-1.32
12/10/2012,-1.30,0.78
15/10/2012,-1.12,0.38
16/10/2012,0.84,-0.59
17/10/2012,-0.35,-0.59
18/10/2012,-1.41,-0.77
19/10/2012,-0.70,1.52
22/10/2012,2.24,-1.85
23/10/2012,-2.33,0.73
24/10/2012,0.64,0.17
25/10/2012,-1.13,-0.72
26/10/2012,0.69,0.42
29/10/2012,0.71,0.73
30/10/2012,0.97,-0.40
31/10/2012,1.08,-1.35
01/11/2012,-1.51,-0.30
02/11/2012,-1.78,0.67
05/11/2012,1.26,1.20
06/11/2012,1.54,0.32
07/11/2012,-1.17,1.11
08/11/2012,1.20,-0.42
09/11/2012,1.21,-0.72
12/11/2012,-0.39,-0.17
13/11/2012,-0.55,-0.96
14/11/2012,0.53,0.45
15/11/2012,-0.96,1.00
16/11/2012,1.11,0.32
19/11/2012,1.26,-0.69
20/11/2012,-0.74,0.64
21/11/2012,0.92,0.45
22/11/2012,0.60,0.96
23/11/2012,1.42,-0.49
26/11/2012,-0.30,-1.48
27/11/2012,-0.77,1.00
28/11/2012,-0.52,0.24
29/11/2012,1.24,-0.59
30/11/2012,-1.58,-1.14
03/12/2012,-0.60,-0.47
04/12/2012,-0.83,0.12
05/12/2012,-0.85,0.65
06/12/2012,0.25,0.80
07/12/2012,1.22,-0.38
10/12/2012,-0.71,0.60
11/12/2012,-0.46,-1.17
12/12/2012,-1.11,0.45
13/12/2012,-0.72,-0.17
14/12/2012,-0.98,-0.32
17/12/2012,0.73,-1.31
18/12/2012,-1.77,-0.93
19/12/2012,-0.89,0.25
20/12/2012,-1.99,0.49
21/12/2012,-0.68,0.35
27/12/2012,1.16,1.48
28/12/2012,1.55,-0.92
